[2026-07-22T09:25:24.851Z] GET http://localhost:3000/dashboard/send-email → 200 (114ms, 7510B)
[2026-07-22T09:25:24.971Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (11ms, 48432B)
[2026-07-22T09:25:24.971Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784712324860 → 200 (5ms, 75856B)
[2026-07-22T09:25:24.971Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784712324860 → 200 (29ms, 56325B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784712324860 → 200 (635ms, ?B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (27ms, 132923B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/send-email/page.js → 200 (208ms, 5176360B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/layout.js → 200 (208ms, 4570583B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/template.js → 200 (79ms, 1867855B)
[2026-07-22T09:25:24.972Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (44ms, 234170B)
[2026-07-22T09:25:26.088Z] GET http://localhost:8000/api/me → 401 (2ms, 31B)
[2026-07-22T09:25:26.088Z] GET http://localhost:8000/api/me → 401 (1ms, 31B)
[2026-07-22T09:25:26.091Z] GET http://localhost:3000/login?_rsc=1bqs8 → pending (?ms, ?B)
[2026-07-22T09:25:27.054Z] GET http://localhost:3000/_next/static/webpack/e41574fdfdd45d21.webpack.hot-update.json → 200 (13ms, 31B)
[2026-07-22T09:25:27.072Z] GET http://localhost:3000/_next/static/webpack/webpack.e41574fdfdd45d21.hot-update.js → 200 (2ms, 858B)
[2026-07-22T09:25:27.137Z] GET http://localhost:3000/login?_rsc=tlsy5 → 200 (16ms, ?B)
[2026-07-22T09:25:27.158Z] GET http://localhost:3000/_next/static/chunks/app/login/page.js → 200 (63ms, 1945851B)
[2026-07-22T09:26:01.340Z] POST http://localhost:8000/api/login → 200 (6ms, 143B)
[2026-07-22T09:26:01.350Z] GET http://localhost:3000/dashboard?_rsc=1obve → pending (?ms, ?B)
[2026-07-22T09:26:01.923Z] GET http://localhost:3000/_next/static/webpack/fcc7d7cbd0f08342.webpack.hot-update.json → 200 (19ms, 31B)
[2026-07-22T09:26:01.944Z] GET http://localhost:3000/_next/static/webpack/webpack.fcc7d7cbd0f08342.hot-update.js → 200 (46ms, 858B)
[2026-07-22T09:26:01.989Z] GET http://localhost:8000/api/me → 200 (25ms, 143B)
[2026-07-22T09:26:01.989Z] GET http://localhost:8000/api/me → 200 (4ms, 143B)
[2026-07-22T09:26:02.014Z] GET http://localhost:3000/dashboard?_rsc=pcfej → 200 (16ms, ?B)
[2026-07-22T09:26:02.390Z] GET http://localhost:3000/dashboard/send-email → 200 (118ms, 7510B)
[2026-07-22T09:26:02.516Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, ?B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784712362402 → 200 (1ms, 75856B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784712362402 → 200 (12ms, 56325B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784712362402 → pending (?ms, ?B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (29ms, 132923B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/send-email/page.js → pending (?ms, ?B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/layout.js → pending (?ms, ?B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/template.js → 200 (76ms, ?B)
[2026-07-22T09:26:02.517Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (30ms, 234170B)
[2026-07-22T09:26:03.512Z] GET http://localhost:8000/api/me → 200 (33ms, 143B)
[2026-07-22T09:26:03.512Z] GET http://localhost:8000/api/me → 200 (1ms, 143B)
[2026-07-22T09:26:03.562Z] GET http://localhost:8000/api/prospects?page=1&limit=20&sort=created_at&order=desc → 200 (36ms, 1592B)
